DRAUGHT,KMT,VCB,KML,WLA,WSA,CM,CP,CW,LWL
5.400,39.928,2.840,1091.217,12235.2,14211,0.995,0.7730,0.8484,282.75
5.500,39.328,2.889,1074.505,12256.1,14278,0.995,0.7744,0.8498,282.84
5.600,38.749,2.938,1058.367,12276.6,14344,0.995,0.7757,0.8513,282.93
5.700,38.193,2.988,1042.764,12296.7,14408,0.996,0.7770,0.8527,283.02
5.800,37.657,3.038,1027.783,12317.0,14474,0.996,0.7784,0.8541,283.11
5.900,37.141,3.087,1013.285,12336.9,14540,0.996,0.7797,0.8555,283.20
6.000,36.643,3.137,999.263,12356.7,14606,0.996,0.7809,0.8568,283.29
6.100,36.162,3.187,985.674,12376.2,14671,0.996,0.7822,0.8582,283.38
6.200,35.699,3.237,972.569,12395.7,14737,0.996,0.7834,0.8595,283.47
6.300,35.253,3.287,959.887,12415.1,14803,0.996,0.7847,0.8609,283.56
6.400,34.823,3.337,947.653,12434.6,14868,0.996,0.7859,0.8622,283.65
6.500,34.407,3.388,935.831,12454.0,14934,0.996,0.7871,0.8636,283.75
6.600,34.005,3.438,924.346,12473.3,15000,0.996,0.7882,0.8649,283.84
6.700,33.617,3.488,913.210,12492.4,15066,0.996,0.7894,0.8663,283.94
6.800,33.242,3.539,902.418,12511.4,15132,0.996,0.7905,0.8676,284.04
6.900,32.879,3.590,891.914,12530.3,15198,0.996,0.7917,0.8689,284.14
7.000,32.528,3.640,881.720,12549.0,15264,0.996,0.7928,0.8702,284.24
7.100,32.188,3.691,871.821,12567.7,15330,0.996,0.7939,0.8715,284.35
7.200,31.859,3.742,862.188,12586.2,15396,0.996,0.7950,0.8728,284.46
7.300,31.541,3.793,852.893,12604.9,15462,0.997,0.7961,0.8741,284.57
7.400,31.232,3.844,843.838,12623.5,15528,0.997,0.7971,0.8753,284.69
7.500,30.934,3.895,835.040,12642.0,15594,0.997,0.7982,0.8766,284.81
7.600,30.644,3.946,826.474,12660.4,15661,0.997,0.7992,0.8779,284.94
7.700,30.363,3.997,818.144,12678.8,15727,0.997,0.8003,0.8792,285.07
7.800,30.091,4.048,810.057,12697.3,15793,0.997,0.8013,0.8805,285.21
7.900,29.827,4.100,802.172,12715.6,15860,0.997,0.8023,0.8817,285.36
8.000,29.571,4.151,794.489,12733.8,15926,0.997,0.8033,0.8830,285.51
8.100,29.323,4.202,787.001,12752.0,15993,0.997,0.8043,0.8843,285.67
8.200,29.081,4.254,779.708,12770.2,16060,0.997,0.8053,0.8855,285.83
8.300,28.847,4.305,772.579,12788.2,16126,0.997,0.8062,0.8868,286.01
8.400,28.620,4.357,765.632,12806.2,16193,0.997,0.8072,0.8880,286.19
8.500,28.399,4.409,758.841,12824.0,16260,0.997,0.8082,0.8893,286.39
8.600,28.185,4.460,752.603,12843.7,16328,0.997,0.8091,0.8906,286.59
8.700,27.976,4.512,746.251,12862.0,16395,0.997,0.8101,0.8919,286.80
8.800,27.773,4.564,740.044,12880.3,16463,0.997,0.8110,0.8932,287.02
8.900,27.576,4.616,733.992,12898.5,16531,0.997,0.8119,0.8944,287.25
9.000,27.385,4.668,728.088,12916.8,16599,0.997,0.8129,0.8957,287.48
9.100,27.199,4.720,722.323,12935.1,16667,0.997,0.8138,0.8970,287.72
9.200,27.019,4.772,716.691,12953.3,16735,0.997,0.8147,0.8982,287.97
9.300,26.843,4.824,711.191,12971.6,16803,0.997,0.8156,0.8995,288.23
9.400,26.673,4.876,705.809,12989.8,16872,0.997,0.8165,0.9007,288.49
9.500,26.506,4.928,700.530,13007.8,16940,0.997,0.8174,0.9020,288.76
9.600,26.345,4.981,695.466,13026.3,17008,0.997,0.8183,0.9033,289.03
9.700,26.188,5.033,690.532,13045.0,17078,0.997,0.8192,0.9046,289.30
9.800,26.036,5.085,685.677,13063.4,17147,0.997,0.8201,0.9058,289.58
9.900,25.887,5.138,680.918,13081.8,17216,0.997,0.8209,0.9071,289.86
10.000,25.743,5.190,676.258,13100.1,17286,0.997,0.8218,0.9084,290.14
10.100,25.602,5.243,671.638,13118.1,17355,0.997,0.8227,0.9096,290.42
10.200,25.466,5.295,667.107,13136.1,17424,0.997,0.8235,0.9109,290.71
10.300,25.333,5.348,662.688,13154.1,17493,0.998,0.8244,0.9121,291.00
10.400,25.204,5.400,658.398,13172.3,17563,0.998,0.8252,0.9134,291.30
10.500,25.078,5.453,654.196,13190.5,17633,0.998,0.8261,0.9147,291.59
10.600,24.956,5.506,650.068,13208.7,17703,0.998,0.8269,0.9159,291.89
10.700,24.837,5.559,646.014,13226.7,17773,0.998,0.8277,0.9172,292.19
10.800,24.721,5.612,642.026,13244.7,17842,0.998,0.8286,0.9184,292.49
10.900,24.609,5.664,638.105,13262.5,17912,0.998,0.8294,0.9197,292.80
11.000,24.499,5.717,634.236,13280.3,17982,0.998,0.8302,0.9209,293.10
11.100,24.393,5.770,630.431,13297.9,18052,0.998,0.8311,0.9221,293.41
11.200,24.289,5.823,626.688,13315.4,18122,0.998,0.8319,0.9233,293.72
11.300,24.188,5.876,622.974,13332.6,18192,0.998,0.8327,0.9245,294.02
11.400,24.090,5.930,619.306,13349.7,18262,0.998,0.8335,0.9257,294.33
11.500,23.994,5.983,615.680,13366.6,18331,0.998,0.8343,0.9269,294.63
11.600,23.901,6.036,612.082,13383.2,18401,0.998,0.8352,0.9280,294.93
11.700,23.811,6.089,608.511,13399.6,18470,0.998,0.8360,0.9292,295.22
11.800,23.723,6.142,604.976,13415.7,18539,0.998,0.8368,0.9303,295.52
11.900,23.637,6.196,601.939,13434.7,18611,0.998,0.8376,0.9316,295.80
12.000,23.553,6.249,598.783,13452.4,18683,0.998,0.8384,0.9328,296.09
12.100,23.471,6.302,595.668,13470.1,18754,0.998,0.8391,0.9340,296.37
12.200,23.392,6.355,592.626,13487.8,18825,0.998,0.8399,0.9353,296.66
12.300,23.315,6.409,589.651,13505.7,18896,0.998,0.8407,0.9365,296.93
12.400,23.239,6.462,586.726,13523.5,18968,0.998,0.8415,0.9377,297.21
12.500,23.166,6.515,583.835,13541.2,19039,0.998,0.8422,0.9390,297.49
12.600,23.094,6.569,580.947,13558.5,19111,0.998,0.8430,0.9402,297.76
12.700,23.025,6.622,577.850,13573.9,19180,0.998,0.8438,0.9413,298.03
12.800,22.958,6.676,574.830,13589.6,19250,0.998,0.8445,0.9424,298.31
12.900,22.892,6.729,571.828,13604.9,19320,0.998,0.8453,0.9434,298.58
13.000,22.828,6.783,568.835,13620.0,19389,0.998,0.8461,0.9445,298.85
13.100,22.766,6.837,565.868,13634.8,19459,0.998,0.8468,0.9455,299.11
13.200,22.705,6.890,562.902,13649.2,19528,0.998,0.8476,0.9465,299.38
13.300,22.646,6.944,559.957,13663.4,19597,0.998,0.8483,0.9475,299.65
13.400,22.588,6.998,557.285,13679.2,19667,0.998,0.8491,0.9486,299.82
13.500,22.532,7.051,554.678,13695.1,19738,0.998,0.8498,0.9497,299.81
13.600,22.477,7.105,551.924,13709.6,19808,0.998,0.8505,0.9507,299.80
13.700,22.423,7.159,549.051,13722.8,19876,0.998,0.8513,0.9516,299.79
13.800,22.371,7.212,546.108,13735.2,19944,0.998,0.8520,0.9525,299.78
13.900,22.320,7.266,543.094,13746.6,20011,0.998,0.8527,0.9533,299.77
14.000,22.270,7.320,540.043,13757.3,20077,0.998,0.8535,0.9541,299.76
14.100,22.221,7.373,536.951,13767.2,20143,0.998,0.8542,0.9548,299.75
14.200,22.174,7.427,533.849,13776.7,20208,0.998,0.8549,0.9554,299.74
14.300,22.127,7.481,530.732,13785.6,20273,0.998,0.8556,0.9560,299.73
14.400,22.082,7.535,527.597,13794.0,20337,0.998,0.8563,0.9566,299.72
14.500,22.037,7.588,524.453,13801.8,20401,0.998,0.8570,0.9572,299.70
14.600,21.993,7.642,521.297,13809.2,20464,0.998,0.8577,0.9577,299.69
14.700,21.950,7.696,518.135,13816.0,20528,0.998,0.8584,0.9582,299.68
14.800,21.908,7.749,514.978,13822.5,20591,0.998,0.8590,0.9586,299.66
14.900,21.867,7.803,511.829,13828.6,20653,0.998,0.8597,0.9590,299.65
15.000,21.827,7.856,508.691,13834.3,20716,0.998,0.8604,0.9595,299.63
15.100,21.788,7.910,505.568,13839.8,20778,0.998,0.8610,0.9598,299.62
15.200,21.750,7.963,502.468,13845.0,20840,0.998,0.8617,0.9602,299.60
15.300,21.713,8.017,499.387,13850.0,20902,0.998,0.8623,0.9605,299.58
15.400,21.677,8.070,496.327,13854.8,20963,0.998,0.8630,0.9609,299.56
15.500,21.642,8.124,493.294,13859.4,21025,0.998,0.8636,0.9612,299.55
15.600,21.607,8.177,490.280,13863.7,21087,0.998,0.8642,0.9615,299.53
15.700,21.574,8.231,487.287,13867.7,21148,0.998,0.8648,0.9618,299.51
15.800,21.541,8.284,484.324,13871.7,21209,0.998,0.8655,0.9621,299.49
15.900,21.509,8.337,481.380,13875.4,21271,0.998,0.8661,0.9623,299.47
16.000,21.478,8.391,478.464,13878.9,21332,0.998,0.8667,0.9626,299.44
16.100,21.448,8.444,475.568,13882.3,21393,0.998,0.8673,0.9628,299.42
16.200,21.418,8.497,472.699,13885.4,21454,0.998,0.8679,0.9630,299.40
16.300,21.389,8.551,469.855,13888.5,21515,0.998,0.8684,0.9632,299.38
16.400,21.362,8.604,467.038,13891.4,21576,0.998,0.8690,0.9634,299.35
16.500,21.335,8.657,464.241,13894.1,21637,0.998,0.8696,0.9636,299.33
16.600,21.308,8.710,461.448,13896.4,21697,0.998,0.8702,0.9638,299.31
16.700,21.283,8.763,458.673,13898.6,21758,0.998,0.8707,0.9639,299.28
16.800,21.258,8.816,455.912,13900.5,21819,0.998,0.8713,0.9641,299.26
16.900,21.234,8.869,453.215,13902.7,21879,0.998,0.8718,0.9642,299.23
17.000,21.211,8.923,450.547,13904.8,21940,0.998,0.8724,0.9644,299.21
17.100,21.189,8.976,447.908,13906.9,22000,0.999,0.8729,0.9645,299.18
17.200,21.168,9.029,445.302,13908.9,22060,0.999,0.8735,0.9647,299.16
17.300,21.147,9.081,442.724,13910.8,22120,0.999,0.8740,0.9648,299.14
17.400,21.127,9.134,440.172,13912.7,22181,0.999,0.8745,0.9649,299.11
17.500,21.108,9.187,437.653,13914.6,22241,0.999,0.8750,0.9651,299.09
17.600,21.090,9.240,435.162,13916.4,22301,0.999,0.8755,0.9652,299.07
17.700,21.073,9.293,432.698,13918.2,22361,0.999,0.8760,0.9653,299.05
17.800,21.057,9.346,430.262,13919.9,22422,0.999,0.8765,0.9654,299.04
17.900,21.041,9.399,427.852,13921.6,22482,0.999,0.8770,0.9655,299.02
18.000,21.026,9.451,425.469,13923.2,22542,0.999,0.8775,0.9657,299.01
18.100,21.011,9.504,423.114,13924.9,22602,0.999,0.8780,0.9658,299.01
18.200,20.998,9.557,420.786,13926.5,22662,0.999,0.8785,0.9659,299.00
18.300,20.985,9.609,418.482,13928.0,22722,0.999,0.8790,0.9660,299.00
18.400,20.973,9.662,416.205,13929.5,22782,0.999,0.8794,0.9661,299.00
18.500,20.961,9.715,413.952,13931.0,22842,0.999,0.8799,0.9662,299.00
18.600,20.950,9.767,411.722,13932.5,22902,0.999,0.8804,0.9663,299.00
18.700,20.940,9.820,409.519,13933.9,22962,0.999,0.8808,0.9664,299.00
18.800,20.930,9.873,407.342,13935.3,23022,0.999,0.8813,0.9665,299.00
18.900,20.922,9.925,405.186,13936.7,23082,0.999,0.8817,0.9666,299.00
19.000,20.913,9.978,403.054,13938.1,23142,0.999,0.8822,0.9667,299.00
19.100,20.906,10.030,400.946,13939.4,23202,0.999,0.8826,0.9668,299.00
19.200,20.899,10.083,398.861,13940.7,23262,0.999,0.8831,0.9669,299.00
19.300,20.892,10.135,396.798,13942.0,23322,0.999,0.8835,0.9670,299.00
19.400,20.886,10.187,394.757,13943.3,23382,0.999,0.8839,0.9670,299.00
19.500,20.881,10.240,392.741,13944.6,23442,0.999,0.8844,0.9671,299.00
19.600,20.877,10.292,390.746,13945.8,23502,0.999,0.8848,0.9672,299.00
19.700,20.872,10.345,388.772,13947.1,23562,0.999,0.8852,0.9673,299.00
19.800,20.869,10.397,386.820,13948.3,23622,0.999,0.8856,0.9674,299.00
19.900,20.866,10.449,384.891,13949.5,23682,0.999,0.8860,0.9675,299.00
20.000,20.864,10.502,382.982,13950.8,23742,0.999,0.8864,0.9676,299.00
20.100,20.862,10.554,381.092,13952.0,23802,0.999,0.8868,0.9677,299.00
20.200,20.860,10.606,379.222,13953.1,23862,0.999,0.8872,0.9677,299.01
20.300,20.860,10.658,377.389,13954.5,23921,0.999,0.8876,0.9678,299.01
20.400,20.859,10.711,375.560,13955.7,23981,0.999,0.8880,0.9679,299.02
20.500,20.859,10.763,373.747,13956.8,24041,0.999,0.8884,0.9680,299.03
20.600,20.860,10.815,371.954,13957.9,24101,0.999,0.8888,0.9681,299.03
20.700,20.861,10.867,370.180,13959.0,24161,0.999,0.8892,0.9681,299.04
20.800,20.863,10.919,368.425,13960.2,24221,0.999,0.8896,0.9682,299.05
20.900,20.865,10.972,366.688,13961.3,24280,0.999,0.8899,0.9683,299.05
21.000,20.868,11.024,364.969,13962.4,24340,0.999,0.8903,0.9684,299.06
21.100,20.871,11.076,363.269,13963.5,24400,0.999,0.8907,0.9684,299.07
21.200,20.875,11.128,361.586,13964.6,24460,0.999,0.8911,0.9685,299.07
21.300,20.879,11.180,359.922,13965.7,24520,0.999,0.8914,0.9686,299.08
21.400,20.883,11.232,358.273,13966.7,24580,0.999,0.8918,0.9687,299.09
21.500,20.888,11.284,356.641,13967.8,24640,0.999,0.8921,0.9688,299.10
21.600,20.893,11.336,355.025,13968.9,24700,0.999,0.8925,0.9688,299.10
21.700,20.899,11.388,353.428,13970.0,24759,0.999,0.8928,0.9689,299.11
21.800,20.905,11.440,351.848,13971.0,24819,0.999,0.8932,0.9690,299.12
21.900,20.912,11.492,350.283,13972.1,24879,0.999,0.8935,0.9691,299.13
22.000,20.919,11.544,348.734,13973.2,24939,0.999,0.8939,0.9691,299.13
22.100,20.927,11.596,347.202,13974.3,24999,0.999,0.8942,0.9692,299.14
22.200,20.935,11.648,345.686,13975.4,25059,0.999,0.8946,0.9693,299.15
22.300,20.943,11.700,344.183,13976.5,25118,0.999,0.8949,0.9694,299.16
22.400,20.951,11.752,342.694,13977.6,25178,0.999,0.8952,0.9694,299.16
22.500,20.960,11.804,341.219,13978.6,25238,0.999,0.8956,0.9695,299.17
22.600,20.970,11.856,339.759,13979.6,25298,0.999,0.8959,0.9696,299.18
22.700,20.980,11.908,338.315,13980.7,25358,0.999,0.8962,0.9696,299.18
22.800,20.990,11.959,336.885,13981.8,25418,0.999,0.8965,0.9697,299.19
22.900,21.000,12.011,335.471,13982.9,25478,0.999,0.8969,0.9698,299.20
23.000,21.011,12.063,334.069,13983.9,25537,0.999,0.8972,0.9699,299.21
23.100,21.022,12.115,332.682,13985.0,25597,0.999,0.8975,0.9699,299.21
23.200,20.954,12.167,327.326,13922.4,25717,0.999,0.8978,0.9642,299.22
23.300,20.824,12.218,319.008,13806.2,25888,0.999,0.8981,0.9559,299.23
23.400,20.667,12.269,309.255,13658.6,26089,0.999,0.8983,0.9451,299.23
23.500,20.508,12.318,298.494,13489.4,26310,0.999,0.8985,0.9330,299.24
23.600,20.334,12.368,286.493,13291.2,26559,0.999,0.8986,0.9191,299.25
23.700,20.170,12.416,273.915,13079.0,26822,0.999,0.8986,0.9041,299.26
23.800,20.005,12.463,261.457,12860.0,27090,0.999,0.8986,0.8888,299.26
23.900,19.854,12.509,248.060,12624.9,27367,0.999,0.8985,0.8723,294.27
24.000,19.692,12.555,236.028,12397.1,27650,0.999,0.8984,0.8571,288.40
